product_name,product_image_urls,sales_price,retail_price,product_url,brand
UO Maxi Flyaway Duster Cami,https://images.urbndata.com/is/image/UrbanOutfitters/81596215_041_b?$medium$&qlt=80&fit=constrain,49.99,69.00,https://www.urbanoutfitters.com/shop/uo-maxi-flyaway-duster-cami?category=womens-clothing-sale&color=041,Urban Outfitters
Jazzy Rhinestone Cowboy Hat,https://images.urbndata.com/is/image/UrbanOutfitters/80739923_001_b?$medium$&qlt=80&fit=constrain,39.99,79.00,https://www.urbanoutfitters.com/shop/jazzy-rhinestone-cowboy-hat?category=womens-clothing-sale&color=001,Urban Outfitters
Jill Hammered Metal Swirl Earring,https://images.urbndata.com/is/image/UrbanOutfitters/81258857_007_b?$medium$&qlt=80&fit=constrain,14.99,20.00,https://www.urbanoutfitters.com/shop/jill-hammered-metal-swirl-earring?category=womens-clothing-sale&color=007,Urban Outfitters
UO Asymmetrical One-Shoulder Top,https://images.urbndata.com/is/image/UrbanOutfitters/81057796_066_b?$medium$&qlt=80&fit=constrain,24.99,35.00,https://www.urbanoutfitters.com/shop/uo-asymmetrical-one-shoulder-top2?category=womens-clothing-sale&color=066,Urban Outfitters
Out From Under Sweet Dreams Hooded Cropped Top,https://images.urbndata.com/is/image/UrbanOutfitters/69338358_011_b?$medium$&qlt=80&fit=constrain,29.99,39.00,https://www.urbanoutfitters.com/shop/out-from-under-sweet-dreams-hooded-cropped-top?category=womens-clothing-sale&color=011,Urban Outfitters
GEORGE GINA & LUCY Boxery Crossbody Bag,https://images.urbndata.com/is/image/UrbanOutfitters/78182946_030_b?$medium$&qlt=80&fit=constrain,84.99,121.00,https://www.urbanoutfitters.com/shop/george-gina-and-lucy-boxery-crossbody-bag?category=womens-clothing-sale&color=030,Urban Outfitters
Marge Sherwood Log Leather Bag,https://images.urbndata.com/is/image/UrbanOutfitters/79841367_084_b?$medium$&qlt=80&fit=constrain,224.99,317.00,https://www.urbanoutfitters.com/shop/marge-sherwood-log-leather-bag?category=womens-clothing-sale&color=084,Urban Outfitters
Out From Under Sonny Seamed Top & Short Set,https://images.urbndata.com/is/image/UrbanOutfitters/80466485_040_b?$medium$&qlt=80&fit=constrain,39.99,59.00,https://www.urbanoutfitters.com/shop/out-from-under-sonny-seamed-top-and-short-set?category=womens-clothing-sale&color=040,Urban Outfitters
Urban Renewal Vintage Slouchy Plaid Trouser Pant,https://images.urbndata.com/is/image/UrbanOutfitters/82076241_014_b?$medium$&qlt=80&fit=constrain,24.99,49.00,https://www.urbanoutfitters.com/shop/urban-renewal-vintage-slouchy-plaid-trouser-pant?category=womens-clothing-sale&color=014,Urban Outfitters
UO Tierra Plisse Midi Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80239114_030_b?$medium$&qlt=80&fit=constrain,59.99,119.00,https://www.urbanoutfitters.com/shop/uo-tierra-plisse-midi-dress?category=womens-clothing-sale&color=030,Urban Outfitters
The North Face Denali Cropped Fleece Jacket,https://images.urbndata.com/is/image/UrbanOutfitters/68277144_010_b?$medium$&qlt=80&fit=constrain,89.99,129.00,https://www.urbanoutfitters.com/shop/the-north-face-denali-cropped-fleece-jacket?category=womens-clothing-sale&color=010,Urban Outfitters
Out From Under Hero Cutout Singlet Romper,https://images.urbndata.com/is/image/UrbanOutfitters/80466113_230_b?$medium$&qlt=80&fit=constrain,14.95,55.00,https://www.urbanoutfitters.com/shop/out-from-under-hero-cutout-singlet-romper?category=womens-clothing-sale&color=230,Urban Outfitters
Out From Under Sonny Strapless Jumpsuit,https://images.urbndata.com/is/image/UrbanOutfitters/80466394_001_b?$medium$&qlt=80&fit=constrain,54.99,79.00,https://www.urbanoutfitters.com/shop/out-from-under-sonny-strapless-jumpsuit?category=womens-clothing-sale&color=001,Urban Outfitters
Open Fishnet Weave Ruffle Ankle Sock,https://images.urbndata.com/is/image/UrbanOutfitters/81602781_001_b?$medium$&qlt=80&fit=constrain,9.99,15.00,https://www.urbanoutfitters.com/shop/open-fishnet-weave-ruffle-ankle-sock?category=womens-clothing-sale&color=001,Urban Outfitters
Out From Under Evan Henley Tee,https://images.urbndata.com/is/image/UrbanOutfitters/80422132_011_b?$medium$&qlt=80&fit=constrain,24.99,45.00,https://www.urbanoutfitters.com/shop/out-from-under-evan-henley-tee?category=womens-clothing-sale&color=011,Urban Outfitters
UO Y2K Convertible Puffer Jacket,https://images.urbndata.com/is/image/UrbanOutfitters/79598629_036_b?$medium$&qlt=80&fit=constrain,29.95,139.00,https://www.urbanoutfitters.com/shop/uo-y2k-convertible-puffer-jacket?category=womens-clothing-sale&color=036,Urban Outfitters
UO Life Advice Oversized Long Sleeve Tee,https://images.urbndata.com/is/image/UrbanOutfitters/80937667_010_b?$medium$&qlt=80&fit=constrain,24.99,45.00,https://www.urbanoutfitters.com/shop/uo-life-advice-oversized-long-sleeve-tee?category=womens-clothing-sale&color=010,Urban Outfitters
Tiger Thermal Notch Neck Tee,https://images.urbndata.com/is/image/UrbanOutfitters/80658438_020_b?$medium$&qlt=80&fit=constrain,24.99,45.00,https://www.urbanoutfitters.com/shop/tiger-thermal-notch-neck-tee?category=womens-clothing-sale&color=020,Urban Outfitters
UO Casey Corduroy Zip-Up Hooded Jacket,https://images.urbndata.com/is/image/UrbanOutfitters/79993374_012_b?$medium$&qlt=80&fit=constrain,59.99,119.00,https://www.urbanoutfitters.com/shop/uo-casey-corduroy-zip-up-hooded-jacket?category=womens-clothing-sale&color=012,Urban Outfitters
Harper Metal Snap Clip Set,https://images.urbndata.com/is/image/UrbanOutfitters/81426090_070_b?$medium$&qlt=80&fit=constrain,9.99,12.00,https://www.urbanoutfitters.com/shop/harper-metal-snap-clip-set?category=womens-clothing-sale&color=070,Urban Outfitters
Out From Under Arabella Seamless Baby Tee,https://images.urbndata.com/is/image/UrbanOutfitters/81147605_060_b?$medium$&qlt=80&fit=constrain,29.99,39.00,https://www.urbanoutfitters.com/shop/out-from-under-arabella-seamless-baby-tee?category=womens-clothing-sale&color=060,Urban Outfitters
Lace-Trimmed Exploded Fishnet Knee High Socks,https://images.urbndata.com/is/image/UrbanOutfitters/81530487_001_b?$medium$&qlt=80&fit=constrain,9.99,17.00,https://www.urbanoutfitters.com/shop/lace-trimmed-exploded-fishnet-knee-high-socks?category=womens-clothing-sale&color=001,Urban Outfitters
Out From Under Cassidy Seamless Long Sleeve Top,https://images.urbndata.com/is/image/UrbanOutfitters/80499866_055_b?$medium$&qlt=80&fit=constrain,24.99,45.00,https://www.urbanoutfitters.com/shop/out-from-under-cassidy-seamless-long-sleeve-top?category=womens-clothing-sale&color=055,Urban Outfitters
Out From Under Gabi Culotte Sweatpant,https://images.urbndata.com/is/image/UrbanOutfitters/81159980_004_b?$medium$&qlt=80&fit=constrain,39.99,55.00,https://www.urbanoutfitters.com/shop/out-from-under-gabi-culotte-sweatpant?category=womens-clothing-sale&color=004,Urban Outfitters
UO Mesh Twist Front Fly Away Cami,https://images.urbndata.com/is/image/UrbanOutfitters/81045254_059_b?$medium$&qlt=80&fit=constrain,19.99,35.00,https://www.urbanoutfitters.com/shop/uo-mesh-twist-front-fly-away-cami2?category=womens-clothing-sale&color=059,Urban Outfitters
Tailored Union Eben Textured Sock,https://images.urbndata.com/is/image/UrbanOutfitters/63769350_031_b?$medium$&qlt=80&fit=constrain,9.99,16.00,https://www.urbanoutfitters.com/shop/tailored-union-eben-textured-sock?category=womens-clothing-sale&color=031,Urban Outfitters
UO Melanie Corduroy Sherpa Jacket,https://images.urbndata.com/is/image/UrbanOutfitters/79594503_011_b?$medium$&qlt=80&fit=constrain,39.99,89.00,https://www.urbanoutfitters.com/shop/uo-melanie-corduroy-sherpa-jacket?category=womens-clothing-sale&color=011,Urban Outfitters
Billabong True Romance Floral Midi Dress,https://images.urbndata.com/is/image/UrbanOutfitters/79202834_009_b?$medium$&qlt=80&fit=constrain,39.99,79.00,https://www.urbanoutfitters.com/shop/billabong-true-romance-floral-midi-dress?category=womens-clothing-sale&color=009,Urban Outfitters
Sedona Claw Clip,https://images.urbndata.com/is/image/UrbanOutfitters/81351165_046_b?$medium$&qlt=80&fit=constrain,9.99,12.00,https://www.urbanoutfitters.com/shop/sedona-claw-clip?category=womens-clothing-sale&color=046,Urban Outfitters
GEORGE GINA & LUCY Best Rookie Backpack,https://images.urbndata.com/is/image/UrbanOutfitters/78183167_020_b?$medium$&qlt=80&fit=constrain,104.99,145.00,https://www.urbanoutfitters.com/shop/george-gina-and-lucy-best-rookie-backpack?category=womens-clothing-sale&color=020,Urban Outfitters
Market UO Exclusive Polar Bear Trio Tee,https://images.urbndata.com/is/image/UrbanOutfitters/70811526_012_b?$medium$&qlt=80&fit=constrain,29.99,40.00,https://www.urbanoutfitters.com/shop/market-uo-exclusive-polar-bear-trio-tee?category=womens-clothing-sale&color=012,Urban Outfitters
Out From Under Cleo Cozy Thermal Oversized Top,https://images.urbndata.com/is/image/UrbanOutfitters/80064629_005_b?$medium$&qlt=80&fit=constrain,24.99,49.00,https://www.urbanoutfitters.com/shop/out-from-under-cleo-cozy-thermal-oversized-top?category=womens-clothing-sale&color=005,Urban Outfitters
UO Nigel Ruffle Mini Slip Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80961162_095_b?$medium$&qlt=80&fit=constrain,34.99,69.00,https://www.urbanoutfitters.com/shop/uo-nigel-ruffle-mini-slip-dress?category=womens-clothing-sale&color=095,Urban Outfitters
The North Face Rusta Plush Fleece Zip-Up Jacket,https://images.urbndata.com/is/image/UrbanOutfitters/68277193_009_b?$medium$&qlt=80&fit=constrain,119.99,240.00,https://www.urbanoutfitters.com/shop/the-north-face-rusta-plush-fleece-zip-up-jacket?category=womens-clothing-sale&color=009,Urban Outfitters
Distressed Crew Sock,https://images.urbndata.com/is/image/UrbanOutfitters/81530503_004_b?$medium$&qlt=80&fit=constrain,9.99,15.00,https://www.urbanoutfitters.com/shop/distressed-crew-sock?category=womens-clothing-sale&color=004,Urban Outfitters
Out From Under After Dark Seamless Shrug Top,https://images.urbndata.com/is/image/UrbanOutfitters/80174451_001_b?$medium$&qlt=80&fit=constrain,19.99,35.00,https://www.urbanoutfitters.com/shop/out-from-under-after-dark-seamless-shrug-top?category=womens-clothing-sale&color=001,Urban Outfitters
BDG Ace Zip-Up Hoodie Sweatshirt,https://images.urbndata.com/is/image/UrbanOutfitters/80288483_040_b?$medium$&qlt=80&fit=constrain,59.99,79.00,https://www.urbanoutfitters.com/shop/bdg-ace-zip-up-hoodie-sweatshirt?category=womens-clothing-sale&color=040,Urban Outfitters
Dickies Camden Snakeskin Trouser Pant,https://images.urbndata.com/is/image/UrbanOutfitters/68834993_095_b?$medium$&qlt=80&fit=constrain,44.99,65.00,https://www.urbanoutfitters.com/shop/dickies-camden-snakeskin-trouser-pant?category=womens-clothing-sale&color=095,Urban Outfitters
BDG Zipped Denim Overall,https://images.urbndata.com/is/image/UrbanOutfitters/80101199_093_b?$medium$&qlt=80&fit=constrain,104.99,149.00,https://www.urbanoutfitters.com/shop/bdg-zipped-denim-overall?category=womens-clothing-sale&color=093,Urban Outfitters
Statement Flower Post Earring,https://images.urbndata.com/is/image/UrbanOutfitters/81297517_000_b?$medium$&qlt=80&fit=constrain,9.99,20.00,https://www.urbanoutfitters.com/shop/statement-flower-post-earring?category=womens-clothing-sale&color=000,Urban Outfitters
