product_url,product_image_urls,product_name,sales_price,retail_price,brand
https://www.nordstromrack.com/s/too-faced-melted-matte-liquid-lipstick/4933979?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=654,https://n.nordstrommedia.com/id/sr3/558a71fd-f64b-401c-978d-691cf5f82274.jpeg?h=365&w=240&dpr=2,Melted Matte Liquid Lipstick,22.10,26.00,Nordstrom Rack
https://www.nordstromrack.com/s/bp-feels-scoop-neck-brami/5856233?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=050,https://n.nordstrommedia.com/id/sr3/4db2ffaa-2cba-4dca-8eed-d3093b91cdc7.jpeg?h=365&w=240&dpr=2,Feels Scoop Neck Brami,9.75,15.00,Nordstrom Rack
https://www.nordstromrack.com/s/james-perse-deep-v-neck-t-shirt/6046928?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=210,https://n.nordstrommedia.com/id/sr3/cce9de48-1700-4341-8f4b-2156383eae01.jpeg?h=365&w=240&dpr=2,Deep V-Neck T-Shirt,27.99 – 39.99,100.00,Nordstrom Rack
https://www.nordstromrack.com/s/furla-classic-business-card-case/6552326?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=004,https://n.nordstrommedia.com/id/sr3/c8b81e92-ef99-4e34-93db-d496e18844ce.jpeg?h=365&w=240&dpr=2,Classic Business Card Case,19.98 – 23.98,78.00,Nordstrom Rack
https://www.nordstromrack.com/s/felina-stripe-delight-hipster-panties/6248408?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=200,https://n.nordstrommedia.com/id/sr3/5943eae7-3b1e-4af3-a5b9-a35ca8ea61fc.jpeg?h=365&w=240&dpr=2,Stripe Delight Hipster Panties,4.00 – 9.99,18.00,Nordstrom Rack
https://www.nordstromrack.com/s/bp-bp-pointelle-rib-crop-henley/5729583?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=050,https://n.nordstrommedia.com/id/sr3/cbca247f-599d-4db8-8c2c-ec6c73168489.jpeg?h=365&w=240&dpr=2,Pointelle Rib Crop Henley,5.97 – 6.00,12.00,Nordstrom Rack
https://www.nordstromrack.com/s/adrienne-vittadini-nocerna-t-strap-pointed-toe-pump/5984754?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=600,https://n.nordstrommedia.com/id/sr3/ba8ea470-e500-402f-a62e-f2e978061393.jpeg?h=365&w=240&dpr=2,Nocerna T-Strap Pointed Toe Pump,29.25 – 64.99,99.00,Nordstrom Rack
https://www.nordstromrack.com/s/abound-seamless-strappy-longline-bralette/6045550?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=100,https://n.nordstrommedia.com/id/sr3/f9add392-36b5-4dbe-aa6f-046bc6887fdb.jpeg?h=365&w=240&dpr=2,Seamless Strappy Longline Bralette,7.78 – 8.43,12.97,Nordstrom Rack
https://www.nordstromrack.com/s/twin-skull-chain-strap-crossbody-bag/6133065?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/762259fc-6c80-4f33-a85e-644627fee430.jpeg?h=365&w=240&dpr=2,Twin Skull Chain Strap Crossbody Bag,499.99,95.00,Nordstrom Rack
https://www.nordstromrack.com/s/definicils-defining-lengthening-mascara/2786551?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/54b327cb-6295-40cb-83f7-3724dc01adcb.jpeg?h=365&w=240&dpr=2,Définicils Defining & Lengthening Mascara,28.05,33.00,Nordstrom Rack
https://www.nordstromrack.com/s/melrose-and-market-zip-front-poncho/6942933?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/18a36a58-bb8d-47ae-a1be-80590188f2a9.jpeg?h=365&w=240&dpr=2,Zip Front Poncho,13.19 – 16.48,32.97,Nordstrom Rack
https://www.nordstromrack.com/s/adornia-water-resistant-14k-yellow-gold-paperclip-curb-snake-chain-necklace-set/6767053?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=710,https://n.nordstrommedia.com/id/sr3/bc9dc4b8-33c0-4d4d-9f6c-8f4b17260534.jpeg?h=365&w=240&dpr=2,"Water Resistant 14K Yellow Gold Paperclip, Curb, & Snake Chain Necklace Set",19.98,95.00,Nordstrom Rack
https://www.nordstromrack.com/s/adornia-mother-of-pearl-flower-station-bracelet/5994488?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=100,https://n.nordstrommedia.com/id/sr3/2618d712-05f9-4b13-b28f-05e1f591c9e0.jpeg?h=365&w=240&dpr=2,Mother of Pearl Flower Station Bracelet,19.98,145.00,Nordstrom Rack
https://www.nordstromrack.com/s/nordstrom-cubic-zirconia-initial-pendant-necklace/6125083?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=712,https://n.nordstrommedia.com/id/sr3/05dd7b73-8a33-4de9-a0d0-2fc440fef367.jpeg?h=365&w=240&dpr=2,Cubic Zirconia Initial Pendant Necklace,10.49 – 17.98,49.00,Nordstrom Rack
